seller_id,year_month,ingresos_total
04e38a233f726ef161074ab1c9b0399a,2017-09-01,280.6
04e38a233f726ef161074ab1c9b0399a,2017-10-01,19.9
04e38a233f726ef161074ab1c9b0399a,2017-11-01,271.0
04e38a233f726ef161074ab1c9b0399a,2018-01-01,79.7
04e38a233f726ef161074ab1c9b0399a,2018-03-01,167.7
04e38a233f726ef161074ab1c9b0399a,2018-04-01,134.8
04e38a233f726ef161074ab1c9b0399a,2018-05-01,37.9
04ee0ec01589969663ba5967c0e0bdc0,2018-08-01,289.49
04fdea0c111866e6cf812f1570d6b5bd,2017-10-01,95.0
04fdea0c111866e6cf812f1570d6b5bd,2017-11-01,95.0
04fdea0c111866e6cf812f1570d6b5bd,2017-12-01,295.0
04fdea0c111866e6cf812f1570d6b5bd,2018-01-01,380.0
0509040ea3fe50071181bbc359eb7738,2017-05-01,161.89
0509040ea3fe50071181bbc359eb7738,2017-06-01,245.69
0509040ea3fe50071181bbc359eb7738,2017-07-01,28.99
0509040ea3fe50071181bbc359eb7738,2017-08-01,194.1
0509040ea3fe50071181bbc359eb7738,2017-09-01,260.38
